linux-amd64-noopt at 9a1d3b0ad20ba5d73ba3a88c86563ae7b4cf03ca

:: Running /workdir/go/src/make.bash with args ["/workdir/go/src/make.bash"] and env ["PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin" "HOSTNAME=buildlet-linux-amd64-bullseye-rnaf1b1ce" "DEBIAN_FRONTEND=noninteractive" "HOME=/root" "USER=root" "GO_STAGE0_NET_DELAY=0s" "GO_STAGE0_DL_DELAY=200ms" "WORKDIR=/workdir" "GOROOT_BOOTSTRAP=/workdir/go1.4" "GO_BUILDER_NAME=linux-amd64-noopt" "GO_DISABLE_OUTBOUND_NETWORK=1" "GO_GCFLAGS=-N -l" "GOBIN=" "TMPDIR=/workdir/tmp" "GOCACHE=/workdir/gocache" "PWD=/workdir/go/src"] in dir /workdir/go/src

Building Go cmd/dist using /workdir/go1.4. (go1.17.13 linux/amd64)
Building Go toolchain1 using /workdir/go1.4.
Building Go bootstrap cmd/go (go_bootstrap) using Go toolchain1.
Building Go toolchain2 using go_bootstrap and Go toolchain1.
Building Go toolchain3 using go_bootstrap and Go toolchain2.
Building packages and commands for linux/amd64.
---
Installed Go for linux/amd64 in /workdir/go
Installed commands in /workdir/go/bin

##### Test execution environment.
# GOARCH: amd64
# CPU: Intel(R) Xeon(R) CPU @ 2.20GHz
# GOOS: linux
# OS Version: Linux 5.10.133+ #1 SMP Tue Aug 9 15:29:43 UTC 2022 x86_64

##### Testing packages.
ok  	archive/tar	0.034s
ok  	debug/macho	0.006s
ok  	debug/pe	0.018s
ok  	debug/plan9obj	0.003s
ok  	embed	0.004s [no tests to run]
ok  	embed/internal/embedtest	0.004s
ok  	encoding/ascii85	0.005s
ok  	encoding/asn1	0.005s
ok  	encoding/base32	0.021s
ok  	encoding/base64	0.006s
ok  	encoding/binary	0.006s
ok  	encoding/csv	0.018s
ok  	encoding/gob	0.042s
ok  	encoding/hex	0.005s
ok  	encoding/json	0.259s
ok  	encoding/pem	0.787s
ok  	encoding/xml	0.092s
ok  	errors	0.005s
ok  	expvar	0.006s
ok  	flag	0.024s
ok  	fmt	0.141s
ok  	go/ast	0.007s
ok  	go/build	2.268s
ok  	go/build/constraint	0.008s
ok  	go/constant	0.006s
ok  	go/doc	0.077s
ok  	go/doc/comment	0.917s
ok  	go/format	0.011s
ok  	go/importer	0.004s
ok  	go/internal/gccgoimporter	0.013s
ok  	go/internal/gcimporter	2.308s
ok  	go/internal/srcimporter	2.587s
ok  	go/parser	0.507s
ok  	go/printer	0.298s
ok  	go/scanner	0.005s
ok  	go/token	0.024s
ok  	go/types	0.898s
ok  	hash	0.004s
ok  	hash/adler32	0.009s
ok  	hash/crc32	0.009s
ok  	hash/crc64	0.004s
ok  	hash/fnv	0.004s
ok  	hash/maphash	0.123s
ok  	html	0.004s
ok  	html/template	0.122s
ok  	image	0.122s
ok  	image/color	0.207s
ok  	image/draw	0.196s
ok  	image/gif	40.758s
ok  	image/jpeg	6.028s
ok  	image/png	0.380s
ok  	index/suffixarray	0.354s
ok  	internal/abi	0.003s
ok  	internal/buildcfg	0.003s
ok  	internal/cpu	0.008s
ok  	internal/dag	0.003s
ok  	internal/diff	0.004s
ok  	internal/fmtsort	0.003s
ok  	internal/fuzz	0.013s
ok  	internal/godebug	0.003s
ok  	internal/intern	0.311s
ok  	internal/itoa	0.003s
ok  	internal/poll	0.212s
ok  	internal/profile	0.005s
ok  	internal/reflectlite	0.085s
ok  	internal/saferio	0.015s
ok  	internal/singleflight	0.013s
ok  	internal/testenv	0.003s
ok  	internal/trace	0.055s
ok  	internal/unsafeheader	0.003s
ok  	internal/xcoff	0.018s
ok  	io	0.029s
ok  	io/fs	0.779s
ok  	io/ioutil	0.005s
ok  	log	0.006s
ok  	log/syslog	1.216s
ok  	math	0.010s
ok  	math/big	1.295s
ok  	math/bits	0.008s
ok  	math/cmplx	0.005s
ok  	math/rand	0.473s
ok  	mime	0.010s
ok  	mime/multipart	0.329s
ok  	mime/quotedprintable	0.012s
ok  	net	8.773s
ok  	net/http	3.338s
ok  	net/http/cgi	0.235s
ok  	net/http/cookiejar	0.009s
ok  	net/http/fcgi	0.108s
ok  	net/http/httptest	0.049s
ok  	net/http/httptrace	0.004s
ok  	net/http/httputil	0.591s
ok  	net/http/internal	0.004s
ok  	net/http/internal/ascii	0.003s
ok  	net/http/pprof	5.087s
ok  	net/internal/socktest	0.004s
ok  	net/mail	0.008s
ok  	net/netip	0.028s
ok  	net/rpc	0.029s
ok  	net/rpc/jsonrpc	0.008s
ok  	net/smtp	0.018s
ok  	net/textproto	0.007s
ok  	net/url	0.013s
ok  	os	0.418s
ok  	os/exec	0.440s
ok  	os/exec/internal/fdtest	0.004s
ok  	os/signal	1.935s
ok  	os/user	0.005s
ok  	path	0.005s
ok  	path/filepath	0.038s
ok  	plugin	0.004s
ok  	reflect	0.343s
ok  	regexp	0.104s
ok  	regexp/syntax	0.583s
ok  	runtime	20.697s
ok  	runtime/cgo	0.004s
ok  	runtime/debug	0.035s
ok  	runtime/internal/atomic	0.054s
ok  	runtime/internal/math	0.003s
ok  	runtime/internal/sys	0.003s
ok  	runtime/metrics	0.003s
ok  	runtime/pprof	4.164s
ok  	runtime/trace	2.561s
ok  	sort	0.079s
ok  	strconv	0.857s
ok  	strings	1.346s
ok  	sync	0.301s
ok  	sync/atomic	0.793s
ok  	syscall	0.065s
ok  	testing	1.243s
ok  	testing/fstest	0.005s
ok  	testing/iotest	0.004s
ok  	testing/quick	0.063s
ok  	text/scanner	0.007s
ok  	text/tabwriter	0.004s
ok  	text/template	0.047s
ok  	text/template/parse	0.013s
ok  	time	1.893s
ok  	unicode	0.008s
ok  	unicode/utf16	0.003s
ok  	unicode/utf8	0.009s
ok  	cmd/addr2line	0.004s
ok  	cmd/api	7.577s
ok  	cmd/asm/internal/asm	0.859s
ok  	cmd/asm/internal/lex	0.004s
ok  	cmd/compile/internal/abt	0.011s
ok  	cmd/compile/internal/amd64	7.262s
ok  	cmd/compile/internal/dwarfgen	0.005s
ok  	cmd/compile/internal/importer	0.453s
ok  	cmd/compile/internal/ir	0.003s
ok  	cmd/compile/internal/logopt	0.003s
ok  	cmd/compile/internal/noder	0.006s
ok  	cmd/compile/internal/reflectdata	0.004s [no tests to run]
ok  	cmd/compile/internal/ssa	0.153s
ok  	cmd/compile/internal/syntax	0.043s
ok  	cmd/compile/internal/test	0.089s
ok  	cmd/compile/internal/typecheck	0.003s
ok  	cmd/compile/internal/types	0.004s
ok  	cmd/compile/internal/types2	0.321s
ok  	cmd/cover	0.005s
ok  	cmd/dist	0.003s
ok  	cmd/doc	0.282s
ok  	cmd/fix	0.567s
ok  	cmd/go	0.015s [no tests to run]
ok  	cmd/go/internal/auth	0.004s
ok  	cmd/go/internal/cache	0.075s
ok  	cmd/go/internal/fsys	0.020s
ok  	cmd/go/internal/generate	0.014s
ok  	cmd/go/internal/get	0.014s
ok  	cmd/go/internal/imports	0.003s
ok  	cmd/go/internal/load	0.012s
ok  	cmd/go/internal/lockedfile	0.077s
ok  	cmd/go/internal/lockedfile/internal/filelock	0.027s
ok  	cmd/go/internal/modconv	0.010s
ok  	cmd/go/internal/modfetch	0.006s
ok  	cmd/go/internal/modfetch/codehost	0.005s
ok  	cmd/go/internal/modfetch/zip_sum_test	0.006s
ok  	cmd/go/internal/modindex	0.157s
ok  	cmd/go/internal/modload	0.006s
ok  	cmd/go/internal/mvs	0.009s
ok  	cmd/go/internal/par	0.033s
ok  	cmd/go/internal/search	0.004s
ok  	cmd/go/internal/str	0.003s
ok  	cmd/go/internal/test	0.014s
ok  	cmd/go/internal/vcs	0.008s
ok  	cmd/go/internal/web	0.005s
ok  	cmd/go/internal/work	0.018s
ok  	cmd/gofmt	0.046s
ok  	cmd/internal/archive	0.003s
ok  	cmd/internal/buildid	0.211s
ok  	cmd/internal/dwarf	0.003s
ok  	cmd/internal/edit	0.003s
ok  	cmd/internal/goobj	0.003s
ok  	cmd/internal/moddeps	0.003s
ok  	cmd/internal/notsha256	0.004s
ok  	cmd/internal/obj	0.003s
ok  	cmd/internal/obj/ppc64	0.003s
ok  	cmd/internal/obj/riscv	0.004s
ok  	cmd/internal/obj/s390x	0.003s
ok  	cmd/internal/obj/x86	0.004s
ok  	cmd/internal/objabi	0.003s
ok  	cmd/internal/pkgpath	0.014s
ok  	cmd/internal/quoted	0.004s
ok  	cmd/internal/src	0.003s
ok  	cmd/internal/sys	0.003s
ok  	cmd/internal/test2json	0.142s
ok  	cmd/link	0.005s
ok  	cmd/link/internal/benchmark	0.005s
ok  	cmd/link/internal/ld	0.015s
ok  	cmd/link/internal/loader	0.021s
ok  	cmd/nm	0.003s
ok  	cmd/objdump	0.003s
ok  	cmd/pack	0.005s
ok  	cmd/pprof	0.006s
ok  	cmd/trace	0.256s
ok  	cmd/vet	0.005s

##### os/user with tag osusergo
ok  	os/user	0.006s

##### GOMAXPROCS=2 runtime -cpu=1,2,4 -quick
ok  	runtime	21.961s

##### cmd/go terminal test
skipping terminal test; stdout/stderr not terminals

##### moved GOROOT
ok  	fmt	0.087s

##### Testing without libgcc.
ok  	net	0.009s
ok  	os/user	0.004s

##### internal linking of -buildmode=pie
ok  	reflect	0.215s
ok  	os/user	0.004s

##### sync -cpu=10
ok  	sync	0.273s

##### Testing race detector
ok  	runtime/race	0.038s
ok  	flag	0.041s
ok  	net	0.149s
ok  	os	0.150s
ok  	os/exec	0.105s
ok  	encoding/gob	0.062s
ok  	flag	0.036s
ok  	os/exec	0.102s

##### ../misc/cgo/stdio
PASS

##### ../misc/cgo/life
PASS

##### ../misc/cgo/fortran
PASS
ok  	misc/cgo/fortran	0.003s

##### ../misc/swig/stdio
ok  	misc/swig/stdio	0.003s

##### ../misc/cgo/test
ok  	misc/cgo/test	3.347s
ok  	misc/cgo/test	3.385s
ok  	misc/cgo/test	3.289s
ok  	misc/cgo/testtls	0.004s
ok  	misc/cgo/testtls	0.003s
ok  	misc/cgo/testtls	0.003s
ok  	misc/cgo/nocgo	0.003s
ok  	misc/cgo/nocgo	0.003s
ok  	misc/cgo/nocgo	0.003s
ok  	misc/cgo/test	3.291s
ok  	misc/cgo/test	3.795s
ok  	misc/cgo/test	3.145s
ok  	misc/cgo/test	3.088s
ok  	misc/cgo/testtls	0.004s
ok  	misc/cgo/nocgo	0.003s

##### ../test/bench/go1

##### ../test
# go run run.go -- escape_struct_param2.go
exit status 1
/workdir/go/test/escape_struct_param2.go:25: leaking param: u to result ~r0 level=0
/workdir/go/test/escape_struct_param2.go:29: leaking param: u to result ~r0 level=0
/workdir/go/test/escape_struct_param2.go:33: leaking param: u to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:38: moved to heap: s
/workdir/go/test/escape_struct_param2.go:41: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:46: moved to heap: s
/workdir/go/test/escape_struct_param2.go:49: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:55: moved to heap: s
/workdir/go/test/escape_struct_param2.go:56: moved to heap: ps
/workdir/go/test/escape_struct_param2.go:58: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:62: leaking param: v to result ~r0 level=0
/workdir/go/test/escape_struct_param2.go:66: leaking param: v to result ~r0 level=0
/workdir/go/test/escape_struct_param2.go:70: leaking param: v to result ~r0 level=0
/workdir/go/test/escape_struct_param2.go:74: leaking param: v to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:78: leaking param: v to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:82: leaking param: v to result ~r0 level=0
/workdir/go/test/escape_struct_param2.go:86: leaking param: v to result ~r0 level=0
/workdir/go/test/escape_struct_param2.go:90: leaking param: v to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:94: leaking param: v to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:98: leaking param: v to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:102: leaking param: v to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:106: leaking param: v to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:110: leaking param: v to result ~r0 level=1
/workdir/go/test/escape_struct_param2.go:117: moved to heap: s2
/workdir/go/test/escape_struct_param2.go:118: moved to heap: s3
/workdir/go/test/escape_struct_param2.go:119: moved to heap: s4
/workdir/go/test/escape_struct_param2.go:120: moved to heap: s5
/workdir/go/test/escape_struct_param2.go:121: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:123: moved to heap: ps4
/workdir/go/test/escape_struct_param2.go:124: moved to heap: ps6
/workdir/go/test/escape_struct_param2.go:126: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:127: &U{...} escapes to heap
/workdir/go/test/escape_struct_param2.go:128: &V{...} does not escape
/workdir/go/test/escape_struct_param2.go:135: moved to heap: s2
/workdir/go/test/escape_struct_param2.go:136: moved to heap: s3
/workdir/go/test/escape_struct_param2.go:137: moved to heap: s4
/workdir/go/test/escape_struct_param2.go:138: moved to heap: s5
/workdir/go/test/escape_struct_param2.go:139: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:141: moved to heap: ps4
/workdir/go/test/escape_struct_param2.go:142: moved to heap: ps6
/workdir/go/test/escape_struct_param2.go:144: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:145: &U{...} escapes to heap
/workdir/go/test/escape_struct_param2.go:146: &V{...} does not escape
/workdir/go/test/escape_struct_param2.go:153: moved to heap: s2
/workdir/go/test/escape_struct_param2.go:154: moved to heap: s3
/workdir/go/test/escape_struct_param2.go:155: moved to heap: s4
/workdir/go/test/escape_struct_param2.go:156: moved to heap: s5
/workdir/go/test/escape_struct_param2.go:157: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:159: moved to heap: ps4
/workdir/go/test/escape_struct_param2.go:160: moved to heap: ps6
/workdir/go/test/escape_struct_param2.go:162: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:163: &U{...} escapes to heap
/workdir/go/test/escape_struct_param2.go:164: &V{...} does not escape
/workdir/go/test/escape_struct_param2.go:171: moved to heap: s2
/workdir/go/test/escape_struct_param2.go:172: moved to heap: s3
/workdir/go/test/escape_struct_param2.go:173: moved to heap: s4
/workdir/go/test/escape_struct_param2.go:174: moved to heap: s5
/workdir/go/test/escape_struct_param2.go:175: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:177: moved to heap: ps4
/workdir/go/test/escape_struct_param2.go:178: moved to heap: ps6
/workdir/go/test/escape_struct_param2.go:180: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:181: &U{...} escapes to heap
/workdir/go/test/escape_struct_param2.go:182: &V{...} does not escape
/workdir/go/test/escape_struct_param2.go:186: leaking param: v to result ~r0 level=2
/workdir/go/test/escape_struct_param2.go:190: leaking param: v to result ~r0 level=2
/workdir/go/test/escape_struct_param2.go:194: leaking param: v to result ~r0 level=2
/workdir/go/test/escape_struct_param2.go:198: leaking param: v to result ~r0 level=2
/workdir/go/test/escape_struct_param2.go:207: moved to heap: s4
/workdir/go/test/escape_struct_param2.go:208: moved to heap: s5
/workdir/go/test/escape_struct_param2.go:209: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:212: moved to heap: ps6
/workdir/go/test/escape_struct_param2.go:214: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:215: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:216: &V{...} does not escape
/workdir/go/test/escape_struct_param2.go:225: moved to heap: s4
/workdir/go/test/escape_struct_param2.go:226: moved to heap: s5
/workdir/go/test/escape_struct_param2.go:227: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:230: moved to heap: ps6
/workdir/go/test/escape_struct_param2.go:232: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:233: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:234: &V{...} does not escape
/workdir/go/test/escape_struct_param2.go:243: moved to heap: s4
/workdir/go/test/escape_struct_param2.go:244: moved to heap: s5
/workdir/go/test/escape_struct_param2.go:245: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:248: moved to heap: ps6
/workdir/go/test/escape_struct_param2.go:250: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:251: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:252: &V{...} does not escape
/workdir/go/test/escape_struct_param2.go:261: moved to heap: s4
/workdir/go/test/escape_struct_param2.go:262: moved to heap: s5
/workdir/go/test/escape_struct_param2.go:263: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:266: moved to heap: ps6
/workdir/go/test/escape_struct_param2.go:268: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:269: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:270: &V{...} does not escape
/workdir/go/test/escape_struct_param2.go:274: leaking param: v to result ~r0 level=3
/workdir/go/test/escape_struct_param2.go:289: moved to heap: s6
/workdir/go/test/escape_struct_param2.go:294: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:295: &U{...} does not escape
/workdir/go/test/escape_struct_param2.go:296: &V{...} does not escape
unexpected fault address 0x3a0000008f
fatal error: fault
[signal SIGSEGV: segmentation violation code=0x1 addr=0x3a0000008f pc=0x3a0000008f]

goroutine 1 [running]:
runtime.throw({0x11a6896?, 0x10?})
	/workdir/go/src/runtime/panic.go:1047 +0x5d fp=0xc00048cf68 sp=0xc00048cf38 pc=0x43cd7d
runtime.sigpanic()
	/workdir/go/src/runtime/signal_unix.go:844 +0x1ca fp=0xc00048cf98 sp=0xc00048cf68 pc=0x453faa
math/rand.(*Rand).Int63(0xc00074e660)
	/workdir/go/src/math/rand/rand.go:84 +0x38 fp=0xc00048cfc0 sp=0xc00048cf98 pc=0x5ea1b8
math/rand.(*Rand).Int31(0xc00074e660)
	/workdir/go/src/math/rand/rand.go:98 +0x2b fp=0xc00048cfe8 sp=0xc00048cfc0 pc=0x5ea32b
math/rand.(*Rand).Int31n(0xc00074e660, 0x2f)
	/workdir/go/src/math/rand/rand.go:133 +0x93 fp=0xc00048d018 sp=0xc00048cfe8 pc=0x5ea5b3
math/rand.(*Rand).Intn(0xc00074e660, 0x2f)
	/workdir/go/src/math/rand/rand.go:171 +0x53 fp=0xc00048d050 sp=0xc00048d018 pc=0x5ea7b3
cmd/compile/internal/ssa.Compile(0xc000583520)
	/workdir/go/src/cmd/compile/internal/ssa/compile.go:91 +0x14f0 fp=0xc000490fd8 sp=0xc00048d050 pc=0x8acdb0
cmd/compile/internal/ssagen.buildssa(0xc000567cc0, 0x0)
	/workdir/go/src/cmd/compile/internal/ssagen/ssa.go:573 +0x224a fp=0xc0004917b0 sp=0xc000490fd8 pc=0xe2f5aa
cmd/compile/internal/ssagen.Compile(0xc000567cc0, 0x0)
	/workdir/go/src/cmd/compile/internal/ssagen/pgen.go:183 +0x3e fp=0xc000491928 sp=0xc0004917b0 pc=0xe2513e
cmd/compile/internal/gc.compileFunctions.func4.1(0x0)
	/workdir/go/src/cmd/compile/internal/gc/compile.go:153 +0x47 fp=0xc000491980 sp=0xc000491928 pc=0x10aad87
cmd/compile/internal/gc.compileFunctions.func2(0xc00074c0a0)
	/workdir/go/src/cmd/compile/internal/gc/compile.go:125 +0x23 fp=0xc000491998 sp=0xc000491980 pc=0x10b0ce3
cmd/compile/internal/gc.compileFunctions.func4({0xc0000f9e00, 0x37, 0x40})
	/workdir/go/src/cmd/compile/internal/gc/compile.go:152 +0x17b fp=0xc000491a18 sp=0xc000491998 pc=0x10aacdb
cmd/compile/internal/gc.compileFunctions()
	/workdir/go/src/cmd/compile/internal/gc/compile.go:163 +0x1f2 fp=0xc000491a90 sp=0xc000491a18 pc=0x10aaa52
cmd/compile/internal/gc.Main(0x11dd308)
	/workdir/go/src/cmd/compile/internal/gc/main.go:301 +0x178c fp=0xc000491ed8 sp=0xc000491a90 pc=0x10ad1cc
main.main()
	/workdir/go/src/cmd/compile/main.go:57 +0x171 fp=0xc000491f80 sp=0xc000491ed8 pc=0x10e5911
runtime.main()
	/workdir/go/src/runtime/proc.go:250 +0x1d3 fp=0xc000491fe0 sp=0xc000491f80 pc=0x43f4d3
runtime.goexit()
	/workdir/go/src/runtime/asm_amd64.s:1594 +0x1 fp=0xc000491fe8 sp=0xc000491fe0 pc=0x472061

goroutine 2 [force gc (idle)]:
runtime.gopark(0x11de6a8, 0x1749830, 0x11, 0x14, 0x1)
	/workdir/go/src/runtime/proc.go:363 +0xfd fp=0xc000060f88 sp=0xc000060f58 pc=0x43f91d
runtime.goparkunlock(0x0?, 0x0?, 0x0?, 0x0?)
	/workdir/go/src/runtime/proc.go:369 +0x2a fp=0xc000060fb8 sp=0xc000060f88 pc=0x43f9aa
runtime.forcegchelper()
	/workdir/go/src/runtime/proc.go:302 +0xa5 fp=0xc000060fe0 sp=0xc000060fb8 pc=0x43f745
runtime.goexit()
	/workdir/go/src/runtime/asm_amd64.s:1594 +0x1 fp=0xc000060fe8 sp=0xc000060fe0 pc=0x472061
created by runtime.init.5
	/workdir/go/src/runtime/proc.go:290 +0x25

goroutine 3 [runnable]:
runtime.lock(0x1749c80?)
	/workdir/go/src/runtime/lock_futex.go:47 +0x3f fp=0xc000061798 sp=0xc000061790 pc=0x40c6bf
runtime.bgsweep(0x0?)
	/workdir/go/src/runtime/mgcsweep.go:289 +0xa6 fp=0xc0000617c8 sp=0xc000061798 pc=0x427bc6
runtime.gcenable.func1()
	/workdir/go/src/runtime/mgc.go:178 +0x26 fp=0xc0000617e0 sp=0xc0000617c8 pc=0x41c1e6
runtime.goexit()
	/workdir/go/src/runtime/asm_amd64.s:1594 +0x1 fp=0xc0000617e8 sp=0xc0000617e0 pc=0x472061
created by runtime.gcenable
	/workdir/go/src/runtime/mgc.go:178 +0x6b

goroutine 4 [GC scavenge wait]:
runtime.gopark(0x11de6a8, 0x174a1e0, 0xd, 0x14, 0x2)
	/workdir/go/src/runtime/proc.go:363 +0xfd fp=0xc000061f48 sp=0xc000061f18 pc=0x43f91d
runtime.goparkunlock(0x3b9aca00?, 0x0?, 0x0?, 0x0?)
	/workdir/go/src/runtime/proc.go:369 +0x2a fp=0xc000061f78 sp=0xc000061f48 pc=0x43f9aa
runtime.(*scavengerState).park(0x174a1e0)
	/workdir/go/src/runtime/mgcscavenge.go:389 +0x4b fp=0xc000061fa0 sp=0xc000061f78 pc=0x42584b
runtime.bgscavenge(0x0?)
	/workdir/go/src/runtime/mgcscavenge.go:622 +0x65 fp=0xc000061fc8 sp=0xc000061fa0 pc=0x425e45
runtime.gcenable.func2()
	/workdir/go/src/runtime/mgc.go:179 +0x26 fp=0xc000061fe0 sp=0xc000061fc8 pc=0x41c186
runtime.goexit()
	/workdir/go/src/runtime/asm_amd64.s:1594 +0x1 fp=0xc000061fe8 sp=0xc000061fe0 pc=0x472061
created by runtime.gcenable
	/workdir/go/src/runtime/mgc.go:179 +0xaa

goroutine 5 [finalizer wait]:
runtime.gopark(0x11de6a8, 0x178bb88, 0x10, 0x14, 0x1)
	/workdir/go/src/runtime/proc.go:363 +0xfd fp=0xc0000605f8 sp=0xc0000605c8 pc=0x43f91d
runtime.goparkunlock(0x0?, 0x30?, 0x7d?, 0xc000526000?)
	/workdir/go/src/runtime/proc.go:369 +0x2a fp=0xc000060628 sp=0xc0000605f8 pc=0x43f9aa
runtime.runfinq()
	/workdir/go/src/runtime/mfinal.go:186 +0x107 fp=0xc0000607e0 sp=0xc000060628 pc=0x41b287
runtime.goexit()
	/workdir/go/src/runtime/asm_amd64.s:1594 +0x1 fp=0xc0000607e8 sp=0xc0000607e0 pc=0x472061
created by runtime.createfing
	/workdir/go/src/runtime/mfinal.go:163 +0x45

goroutine 9 [GC worker (idle)]:
runtime.gopark(0x11de530, 0xc000026460, 0x18, 0x14, 0x0)
	/workdir/go/src/runtime/proc.go:363 +0xfd fp=0xc000062748 sp=0xc000062718 pc=0x43f91d
runtime.gcBgMarkWorker()
	/workdir/go/src/runtime/mgc.go:1234 +0x107 fp=0xc0000627e0 sp=0xc000062748 pc=0x41dae7
runtime.goexit()
	/workdir/go/src/runtime/asm_amd64.s:1594 +0x1 fp=0xc0000627e8 sp=0xc0000627e0 pc=0x472061
created by runtime.gcBgMarkStartWorkers
	/workdir/go/src/runtime/mgc.go:1158 +0x25

goroutine 8 [GC worker (idle)]:
runtime.gopark(0x11de530, 0xc000114000, 0x18, 0x14, 0x0)
	/workdir/go/src/runtime/proc.go:363 +0xfd fp=0xc000062f48 sp=0xc000062f18 pc=0x43f91d
runtime.gcBgMarkWorker()
	/workdir/go/src/runtime/mgc.go:1234 +0x107 fp=0xc000062fe0 sp=0xc000062f48 pc=0x41dae7
runtime.goexit()
